Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
company mln  0.00189946092958     -0.623727353968/-328.370720479
corp mln  0.00185850218877     -0.610277702738/-328.370720479
company share  0.00185290056698     -0.608438294154/-328.370720479
lt mln  0.00169632661833     -0.557023993828/-328.370720479
mln share  0.00157407763042     -0.516881005591/-328.370720479
dlrs share  0.00140490813637     -0.461330696946/-328.370720479
common stock  0.00122206308806     -0.401289736698/-328.370720479
dlrs mln  0.00108941407335     -0.357731684164/-328.370720479
lt share  0.00034297130302     -0.112621733876/-328.370720479

Topic 2
Topic coherence: -337.235300259
AVG: -1.77492263294
SD:  0.65553871913
oil stg  0.0107892784806     -3.63852556797/-337.235300259
deficit mln  0.0102653014107     -3.46182200348/-337.235300259
mln surplus  0.0101317932004     -3.4167983221/-337.235300259
stg year  0.00988908335978     -3.33494799612/-337.235300259
dlrs surplus  0.00935188557932     -3.15378594133/-337.235300259
deficit dlrs  0.00927019202071     -3.12623598956/-337.235300259
pct stg  0.00902696470783     -3.04421115367/-337.235300259
pct surplus  0.00891290108283     -3.00574487285/-337.235300259
price surplus  0.00849984319438     -2.86644717181/-337.235300259
deficit pct  0.00846380330824     -2.85429324999/-337.235300259
february stg  0.00843433507235     -2.84435552061/-337.235300259
deficit price  0.00840668510503     -2.83503097558/-337.235300259
oil surplus  0.00838463633428     -2.82759535175/-337.235300259
deficit oil  0.00824669106105     -2.78107533612/-337.235300259
dlrs january  0.00816617681084     -2.75392308877/-337.235300259
mln stg  0.00815196459189     -2.74913022685/-337.235300259
rise stg  0.00814039693423     -2.74522920434/-337.235300259
dlrs february  0.00805714656472     -2.71715424098/-337.235300259
deficit year  0.00802203748897     -2.70531422128/-337.235300259
february mln  0.0079936541381     -2.69574235343/-337.235300259
surplus year  0.00795000264401     -2.68102152871/-337.235300259
january mln  0.00794865648213     -2.68056755541/-337.235300259
stg surplus  0.00791732695662     -2.67000213346/-337.235300259
export stg  0.00791732695662     -2.67000213346/-337.235300259
january stg  0.00780102622202     -2.63078142031/-337.235300259
billion stg  0.00765354363258     -2.58104508498/-337.235300259
deficit increase  0.00743408685084     -2.5070365113/-337.235300259
mln trade  0.00734469178339     -2.47688933888/-337.235300259
bank surplus  0.00732063715145     -2.46877726786/-337.235300259
export mln  0.00730848512324     -2.46467917498/-337.235300259
surplus u.s.  0.00729396029739     -2.45978089097/-337.235300259
january u.s.  0.00717958236971     -2.42120861618/-337.235300259
dlrs export  0.00712747313298     -2.40363554209/-337.235300259
deficit u.s.  0.00708493746467     -2.38929101321/-337.235300259
market surplus  0.00706776024684     -2.383498249/-337.235300259
january market  0.00704916903469     -2.37722863599/-337.235300259
january oil  0.00698506223842     -2.3556095613/-337.235300259
mln oil  0.00690533742153     -2.32872353874/-337.235300259
deficit market  0.00680043622434     -2.29334715201/-337.235300259
february oil  0.00670511027492     -2.26119987683/-337.235300259
bank deficit  0.00662592549006     -2.23449597213/-337.235300259
bank oil  0.00660013334331     -2.22579794978/-337.235300259
stg trade  0.00659870514888     -2.2253163122/-337.235300259
january price  0.00657340765183     -2.21678510319/-337.235300259
february year  0.00657116986149     -2.21603044129/-337.235300259
